topic,ai_known_title,ai_known_channel,status
Branch Prediction,Branch Prediction,Computerphile,DONE
Out-of-Order Execution,Out of Order Execution,Computerphile,DONE
OSI Model,OSI Model Explained,NetworkChuck,DONE
OAuth 2.0 vs OpenID Connect,OAuth vs OpenID Connect,Okta,DONE
SAML (Security Assertion Markup Language),SAML Explained,Okta,DONE
IPsec,IPsec VPN,NetworkChuck,DONE
TLS 1.3,TLS 1.3 Explained,Hussein Nasser,DONE
X.509 Certificates,SSL Certificates,Hussein Nasser,DONE
Wireshark,Wireshark Tutorial - Installation and Password sniffing,David Bombal,DONE
TF-IDF (Term Frequency-Inverse Document Frequency),TFIDF : Data Science Concepts,ritvikmath,DONE
BLEU Score,BLEU Score,DeepLearningAI,DONE
ROUGE Score,C5W3L06 Bleu Score (Optional),DeepLearningAI,DONE
CTC Loss (Connectionist Temporal Classification),Connectionist Temporal Classification (CTC) - A first principles derivation,Josh Miles,DONE
MFCCs (Mel-Frequency Cepstral Coefficients),MFCCs,Valerio Velardo,DONE
Whisper Architecture,OpenAI Whisper Explained,AssemblyAI,DONE
Cosine Similarity,Cosine Similarity,StatQuest with Josh Starmer,DONE
BM25 Search Algorithm,Advanced RAG 03 - Hybrid Search BM25 & Ensembles,Sam Witteveen,DONE
Longest Common Subsequence (LCS),Longest Common Subsequence,Abdul Bari,DONE
Edit Distance (Levenshtein),Edit Distance,Abdul Bari,DONE
Coin Change Problem,Coin Change - Dynamic Programming,NeetCode,DONE
Suffix Arrays,Suffix array finding unique substrings,WilliamFiset,DONE
Aho-Corasick Algorithm,Aho-Corasick Algorithm,WilliamFiset,DONE
Tarjan's Algorithm (Strongly Connected Components),Tarjan's Algorithm,WilliamFiset,DONE
Eulerian Paths and Circuits,Eulerian Path,WilliamFiset,DONE
Floyd's Cycle Detection (Tortoise and Hare),Floyd's Cycle Detection,CS Dojo,DONE
KMP Algorithm (Knuth-Morris-Pratt),KMP Algorithm,Abdul Bari,DONE
Rabin-Karp Algorithm,Rabin-Karp Algorithm,Abdul Bari,DONE
Apache Flink,Apache Flink Explained,IBM Technology,DONE
Google BigQuery,Google BigQuery Tutorial | Analyze Data in BigQuery | Google Cloud Platform Training | Edureka Live,edureka!,DONE
Cassandra Architecture,Cassandra Architecture,ByteByteGo,DONE
DynamoDB Architecture,DynamoDB Explained,Be A Better Dev,DONE
Cloud Spanner,Google Cloud Spanner,Google Cloud,DONE
Database Isolation Levels,Database Isolation Levels,Hussein Nasser,DONE
Pessimistic vs Optimistic Locking,Pessimistic vs Optimistic Locking,Hussein Nasser,DONE
Change Data Capture (CDC),Change Data Capture,Hussein Nasser,DONE
Distributed Tracing (OpenTelemetry),OpenTelemetry Explained,TechWorld with Nana,DONE
Service Mesh vs API Gateway,"What is an HTTP Proxy? (Transparent, HTTP and Service Mesh Proxy examples)",Hussein Nasser,DONE
How does the Internet work,How the Internet Works,Code.org,DONE
What is HTTP,HTTP Crash Course & Exploration,Traversy Media,DONE
How Browsers Work,How Web Browsers Work,Hussein Nasser,DONE
Semantic HTML,Semantic HTML,Web Dev Simplified,DONE
SEO Basics,SEO for Beginners,Ahrefs,DONE
CSS Box Model,CSS Box Model,Web Dev Simplified,DONE
Responsive Web Design,Responsive Web Design Tutorial,Kevin Powell,DONE
Sass / SCSS,Sass Tutorial for Beginners,Kevin Powell,DONE
CSS Modules,CSS Modules,Web Dev Simplified,DONE
Styled Components,Styled Components Crash Course,Traversy Media,DONE
DOM Manipulation,DOM Manipulation,Web Dev Simplified,DONE
Fetch API and AJAX,Fetch API Introduction,Traversy Media,DONE
JavaScript ES6+,ES6 JavaScript Features,Traversy Media,DONE
Event Bubbling and Capturing,Event Bubbling and Capturing,Web Dev Simplified,DONE
Package Managers,NPM Crash Course,Traversy Media,DONE
Vite,Learn Vite,Coding in Public,DONE
ESLint and Prettier,ESLint and Prettier Setup,Web Dev Simplified,DONE
Angular,Angular Crash Course for Beginners,Codevolution,DONE
Nuxt.js,Nuxt 3 Crash Course,Traversy Media,DONE
Astro,Astro Crash Course,Traversy Media,DONE
Jest,Learn Jest,Web Dev Simplified,DONE
Cypress,Cypress Crash Course,Traversy Media,DONE
Playwright,Playwright Testing Tutorial,The Testing Academy,DONE
Progressive Web Apps (PWAs),PWA Tutorial,The Net Ninja,DONE
Web Storage API,Local Storage and Session Storage,Web Dev Simplified,DONE
Retrieval-Augmented Generation (RAG),Retrieval-Augmented Generation (RAG) Explained,IBM Technology,DONE
Vector Databases,Vector Databases Explained,ByteByteGo,DONE
Fine-Tuning LLMs,Fine-Tuning Large Language Models,Shaw Talebi,DONE
LoRA and QLoRA,LoRA Explained,Shaw Talebi,DONE
Domain-Driven Design (DDD),Domain Driven Design Explained,Milan Jovanovic,DONE
Clean Architecture,Clean Architecture Explained,Milan Jovanovic,DONE
Event Sourcing,Event Sourcing,CodeOpinion,DONE
CQRS Pattern,CQRS Pattern,CodeOpinion,DONE
Strategy Pattern,Strategy Pattern - Design Patterns,Christopher Okhravi,DONE
Observer Pattern,Observer Pattern - Design Patterns,Christopher Okhravi,DONE
Decorator Pattern,Decorator Pattern - Design Patterns,Christopher Okhravi,DONE
Factory Method Pattern,Factory Method Pattern - Design Patterns,Christopher Okhravi,DONE
Django Basics,Django Crash Course,Traversy Media,DONE
FastAPI Basics,FastAPI Tutorial,Tech With Tim,DONE
ASP.NET Core Web API,.NET 8 Web API Crash Course,Teddy Smith,DONE
NestJS Basics,NestJS Crash Course,Traversy Media,DONE
SQL Injection (SQLi),SQL Injection,Computerphile,DONE
Cross-Site Scripting (XSS),Cross Site Scripting,Computerphile,DONE
Buffer Overflows,Buffer Overflows,LiveOverflow,DONE
Unity Basics,How to make a Video Game in Unity - BASICS,Brackeys,DONE
Intro to Shaders,Shaders for Beginners,Brackeys,DONE
Flutter Basics,Flutter Tutorial for Beginners,The Net Ninja,DONE
SwiftUI Basics,SwiftUI for Beginners,Sean Allen,DONE
Time Dilation (Special Relativity),Time Dilation - Einstein's Theory Of Relativity Explained!,Science ABC,DONE
General Relativity,A New Way to Visualize General Relativity,ScienceClic English,DONE
Hawking Radiation,Hawking Radiation,PBS Space Time,DONE
The Standard Model of Particle Physics,The Standard Model of Particle Physics,Quanta Magazine,DONE
Bernoulli's Equation,Bernoulli's Equation Example Problems,The Organic Chemistry Tutor,DONE
Archimedes' Principle (Buoyancy),Buoyancy Force,The Organic Chemistry Tutor,DONE
Continuity Equation (Fluid Dynamics),Continuity Equation Fluid Mechanics,The Organic Chemistry Tutor,DONE
Lagrangian Mechanics (Introduction),Introduction to Lagrangian Mechanics,Dr. PhysicsA,DONE
Simple Harmonic Motion,Simple Harmonic Motion Physics Problems,The Organic Chemistry Tutor,DONE
Damped Harmonic Oscillators,Damped Harmonic Motion,Michel van Biezen,DONE
Biot-Savart Law,Biot Savart Law,The Organic Chemistry Tutor,DONE
Ampere's Law,Ampere's Law,Michel van Biezen,DONE
RC Circuits,RC Circuits Physics Problems,The Organic Chemistry Tutor,DONE
Lenz's Law,Lenz's Law,The Organic Chemistry Tutor,DONE
Snell's Law,Snell's Law & Index of Refraction,The Organic Chemistry Tutor,DONE
Thin Lens Equation,Thin Lens Equation,The Organic Chemistry Tutor,DONE
Young's Double Slit Experiment (Derivation),Double Slit Interference,Michel van Biezen,DONE
Relativistic Momentum,Relativistic Momentum,Michel van Biezen,DONE
Photoelectric Effect,Photoelectric Effect,The Organic Chemistry Tutor,DONE
Compton Scattering,Compton Scattering,Michel van Biezen,DONE
Vectors and Dot Products,Dot products and duality,3Blue1Brown,DONE
Cross Products,Cross products,3Blue1Brown,DONE
Matrix Multiplication,Matrix multiplication as composition,3Blue1Brown,DONE
Determinants,The determinant,3Blue1Brown,DONE
Inverse Matrices and Column Space,Inverse matrices column space and null space,3Blue1Brown,DONE
Eigenvectors and Eigenvalues,Eigenvectors and eigenvalues,3Blue1Brown,DONE
Singular Value Decomposition (SVD),Singular Value Decomposition (SVD): Mathematical Overview,Steve Brunton,DONE
The Derivative (Limits),The paradox of the derivative,3Blue1Brown,DONE
The Chain Rule,Visualizing the chain rule and product rule,3Blue1Brown,DONE
Taylor Series,Taylor series,3Blue1Brown,DONE
Partial Derivatives,Calculus 3 Lecture 13.3: Partial Derivatives,Professor Leonard,DONE
Gradients and Directional Derivatives,Directional Derivative and Gradient Vector,The Organic Chemistry Tutor,DONE
Line Integrals,Line Integrals,The Organic Chemistry Tutor,DONE
Double Integrals,Calculus 3 Lecture 14.1: Double Integrals,Professor Leonard,DONE
Divergence and Curl,Divergence and curl: The language of Maxwell's equations,3Blue1Brown,DONE
Introduction to Differential Equations,Differential equations studying the undeniable,3Blue1Brown,DONE
First Order Linear Differential Equations,First Order Linear Differential Equations,The Organic Chemistry Tutor,DONE
Second Order Linear Differential Equations,Second Order Linear Differential Equations,The Organic Chemistry Tutor,DONE
Laplace Transform,Laplace Transform: First Order Equation,The Organic Chemistry Tutor,DONE
Fourier Series,But what is a Fourier series?,3Blue1Brown,DONE
The Fourier Transform,But what is the Fourier Transform? A visual introduction,3Blue1Brown,DONE
Proof by Induction,Proof by Mathematical Induction,Dr. Trefor Bazett,DONE
Set Theory,Introduction to Set Theory,Dr. Trefor Bazett,DONE
Graph Theory,Introduction to Graph Theory,Dr. Trefor Bazett,DONE
Vector Spaces and Subspaces,Vector Spaces and Subspaces,Dr. Trefor Bazett,DONE
Linear Independence and Span,Linear combinations span and basis vectors,3Blue1Brown,DONE
Change of Basis,"Change of basis | Chapter 13, Essence of linear algebra",3Blue1Brown,DONE
Orthogonal Projections,Orthogonal Projections,Steve Brunton,DONE
Gram-Schmidt Process,The Gram-Schmidt Process,MathTheBeautiful,DONE
QR Decomposition,QR Decomposition,Steve Brunton,DONE
Diagonalization of Matrices,Diagonalization of a Matrix,Dr. Trefor Bazett,DONE
Positive Definite Matrices,Positive Definite Matrices,MIT OpenCourseWare,DONE
Markov Chains,Markov Chains,Khan Academy,DONE
L'Hopital's Rule,L'Hopital's Rule,The Organic Chemistry Tutor,DONE
Improper Integrals,Improper Integrals,The Organic Chemistry Tutor,DONE
Integration by Parts,Integration by Parts,The Organic Chemistry Tutor,DONE
U-Substitution,U-Substitution Integration,The Organic Chemistry Tutor,DONE
Trigonometric Substitution,Trigonometric Substitution,The Organic Chemistry Tutor,DONE
Parametric Equations,Parametric Equations,Professor Leonard,DONE
Polar Coordinates,Polar Coordinates,Professor Leonard,DONE
Sequences and Series,Sequences and Series,The Organic Chemistry Tutor,DONE
Ratio Test and Root Test,Ratio Test and Root Test,The Organic Chemistry Tutor,DONE
Power Series,Power Series,The Organic Chemistry Tutor,DONE
Vector Functions and Space Curves,Vector Functions,The Organic Chemistry Tutor,DONE
Arc Length and Curvature,Arc Length Calculus,The Organic Chemistry Tutor,DONE
Surface Integrals,Surface Integrals,The Organic Chemistry Tutor,DONE
Green's Theorem,Calculus 3 Lecture 14.4: Green's Theorem,Professor Leonard,DONE
Stokes' Theorem,Stokes' Theorem,Khan Academy,DONE
The Divergence Theorem,8r8Yq-34lP0,,DONE
Separable Differential Equations,Separable Differential Equations,The Organic Chemistry Tutor,DONE
Exact Differential Equations,Exact Differential Equations,The Organic Chemistry Tutor,DONE
Euler's Method,Euler's Method,The Organic Chemistry Tutor,DONE
Systems of Linear Differential Equations,Systems of Linear Differential Equations,Steve Brunton,DONE
Phase Portraits and Stability,Phase Portraits,Steve Brunton,DONE
Nonlinear Dynamics and Chaos,Nonlinear Dynamics and Chaos,Steve Brunton,DONE
Runge-Kutta Methods,Runge-Kutta Methods,Steve Brunton,DONE
Partial Differential Equations (PDEs),Partial Differential Equations,Steve Brunton,DONE
The Heat Equation,The Heat Equation,3Blue1Brown,DONE
The Wave Equation,The Wave Equation,Steve Brunton,DONE
Propositional Logic,Propositional Logic,The Organic Chemistry Tutor,DONE
Truth Tables,Truth Tables,The Organic Chemistry Tutor,DONE
Direct and Indirect Proofs,Direct and Indirect Proofs,Dr. Trefor Bazett,DONE
Proof by Contradiction,Proof by Contradiction,Dr. Trefor Bazett,DONE
Equivalence Relations,Equivalence Relations,Dr. Trefor Bazett,DONE
Modular Arithmetic,Modular Arithmetic,Dr. Trefor Bazett,DONE
Permutations and Combinations,Permutations and Combinations,The Organic Chemistry Tutor,DONE
The Pigeonhole Principle,The Pigeonhole Principle,Dr. Trefor Bazett,DONE
Generating Functions,Generating Functions,Dr. Trefor Bazett,DONE
Recurrence Relations,Recurrence Relations,Dr. Trefor Bazett,DONE
Probability Density Functions,Probability Density Functions,StatQuest,DONE
Cumulative Distribution Functions,Cumulative Distribution Functions,StatQuest,DONE
The Law of Large Numbers,The Law of Large Numbers,Khan Academy,DONE
Group Theory (Abstract Algebra),Group Theory Introduction,Socratica,DONE
Subgroups,Introduction to Subgroups,The Math Sorcerer,DONE
Cosets and Lagrange's Theorem,Cosets and Lagrange's Theorem,Socratica,DONE
Normal Subgroups and Quotient Groups,Normal Subgroups,Socratica,DONE
Homomorphisms and Isomorphisms,Group Homomorphisms,Socratica,DONE
Rings and Fields,Rings and Fields,Socratica,DONE
Galois Theory,Galois Theory Explained Simply,Mathologer,DONE
Supremum and Infimum (Real Analysis),Supremum and Infimum,Wrath of Math,DONE
Epsilon-N Definition of a Limit,Epsilon N Definition of a Limit,Wrath of Math,DONE
Epsilon-Delta Definition of a Limit,Epsilon Delta Definition of a Limit,The Organic Chemistry Tutor,DONE
Continuity in Real Analysis,Continuity (Real Analysis),Wrath of Math,DONE
Uniform Continuity,Uniform Continuity,Wrath of Math,DONE
The Riemann Integral (Rigorous Definition),Riemann Integral Definition,Wrath of Math,DONE
Metric Spaces,Metric Spaces,Wrath of Math,DONE
Open and Closed Sets (Topology of Reals),Open and Closed Sets,Wrath of Math,DONE
Complex Numbers and the Complex Plane,Complex number fundamentals,3Blue1Brown,DONE
Euler's Formula,Euler's Formula,3Blue1Brown,DONE
Cauchy-Riemann Equations,Cauchy Riemann Equations,Faculty of Khan,DONE
Contour Integration,Contour Integration,Faculty of Khan,DONE
Cauchy's Integral Theorem,Cauchy's Integral Theorem,Faculty of Khan,DONE
The Residue Theorem,Residue Theorem,Faculty of Khan,DONE
Introduction to Topology,What is Topology?,PBS Infinite Series,DONE
Homeomorphisms,Homeomorphism,Wrath of Math,DONE
Introduction to Manifolds,What is a Manifold?,XylyXylyX,DONE
Algebraic Topology (The Fundamental Group),Algebraic Topology Introduction,Aleph 0,DONE
Linear Programming,Linear Programming,The Organic Chemistry Tutor,DONE
The Simplex Method,Simplex Method,The Organic Chemistry Tutor,DONE
Convex Optimization,Convex Optimization,Steve Brunton,DONE
Gradient Descent Mathematics,Gradient descent how neural networks learn,3Blue1Brown,DONE
Lagrange Multipliers,Lagrange Multipliers,Khan Academy,DONE
The Euclidean Algorithm,The Euclidean Algorithm,Dr. Trefor Bazett,DONE
The Riemann Hypothesis (Prime Distribution),The Riemann Hypothesis,Numberphile,DONE
Euler's Totient Function,Euler's Totient Function,Michael Penn,DONE
RSA Encryption Mathematics,RSA Encryption,Computerphile,DONE
Elliptic Curve Cryptography,Elliptic Curve Cryptography,Computerphile,DONE
Bayes' Theorem,Bayes Theorem,The Organic Chemistry Tutor,DONE
Maximum Likelihood Estimation (MLE),Maximum Likelihood Estimation (MLE),StatQuest,DONE
Monte Carlo Simulations,Monte Carlo Simulation,MarbleScience,DONE
Principal Component Analysis (PCA) Mathematics,Principal Component Analysis (PCA) clearly explained,StatQuest,DONE
Stochastic Processes,Stochastic Processes,MIT OpenCourseWare,DONE
Hamiltonian Mechanics,Hamiltonian Mechanics,Physics Videos by Eugene Khutoryansky,DONE
Central Force Motion and Orbits,Central Force Motion,MIT OpenCourseWare,DONE
Rigid Body Dynamics and Euler Equations,Rigid Body Dynamics,MIT OpenCourseWare,DONE
Coupled Oscillators and Normal Modes,Coupled Oscillators,MIT OpenCourseWare,DONE
Calculus of Variations (Physics),Calculus of Variations,Physics Videos by Eugene Khutoryansky,DONE
Method of Images (Electrodynamics),Method of Images,Physics Videos by Eugene Khutoryansky,DONE
Multipole Expansion,Multipole Expansion Electromagnetism,Michel van Biezen,DONE
Electromagnetic Waves in a Vacuum,Electromagnetic Waves,Michel van Biezen,DONE
Dielectrics and Polarization,Dielectrics and Polarization,Michel van Biezen,DONE
Waveguides and Resonant Cavities,Waveguides Electromagnetism,Michel van Biezen,DONE
Retarded Potentials and Radiation,Retarded Potentials,Michel van Biezen,DONE
The Hydrogen Atom (Spherical Harmonics),Hydrogen Atom Spherical Harmonics,Physics Videos by Eugene Khutoryansky,DONE
Angular Momentum and Spin (Pauli Matrices),Spin and Pauli Matrices,MIT OpenCourseWare,DONE
Time-Independent Perturbation Theory,Time Independent Perturbation Theory,MIT OpenCourseWare,DONE
Time-Dependent Perturbation Theory,Time Dependent Perturbation Theory,MIT OpenCourseWare,DONE
The WKB Approximation,WKB Approximation,MIT OpenCourseWare,DONE
Identical Particles (Fermions and Bosons),Fermions and Bosons,Physics Videos by Eugene Khutoryansky,DONE
Microcanonical and Canonical Ensembles,Statistical Mechanics Ensembles,Physics Videos by Eugene Khutoryansky,DONE
The Partition Function,The Partition Function,MIT OpenCourseWare,DONE
Fermi-Dirac Statistics,Fermi-Dirac Statistics,MIT OpenCourseWare,DONE
Bose-Einstein Statistics,Bose-Einstein Statistics,Michel van Biezen,DONE
Blackbody Radiation (Planck's Law),Planck's Law of Blackbody Radiation,Michel van Biezen,DONE
Phase Transitions and Critical Phenomena,Phase Transitions,MIT OpenCourseWare,DONE
Lorentz Transformations (Derivation),Lorentz Transformations,ScienceClic English,DONE
Minkowski Spacetime Diagrams,Spacetime Diagrams,ScienceClic English,DONE
Tensors and Four-Vectors,Tensors and Four Vectors,Physics Videos by Eugene Khutoryansky,DONE
The Geodesic Equation,The Geodesic Equation,ScienceClic English,DONE
The Schwarzschild Metric,Schwarzschild Metric,ScienceClic English,DONE
Stellar Evolution and Supernovae,Stellar Evolution,CrashCourse,DONE
The FRW Metric (Cosmology),FRW Metric,ScienceClic English,DONE
Crystal Lattices (Bravais Lattices),Bravais Lattices,Solid State Physics,DONE
Reciprocal Space and Brillouin Zones,Reciprocal Space,Solid State Physics,DONE
Phonons and Lattice Vibrations,Phonons,Solid State Physics,DONE
Bloch's Theorem,Bloch's Theorem,Solid State Physics,DONE
Band Theory of Solids,Band Theory of Solids,MIT OpenCourseWare,DONE
Superconductivity (BCS Theory),Superconductivity Explained,Domain of Science,DONE
Nuclear Binding Energy and Mass Defect,Nuclear Binding Energy,Bozeman Science,DONE
The Strong Nuclear Force (QCD),Quantum Chromodynamics,Fermilab,DONE
Feynman Diagrams,Feynman Diagrams Explained,Fermilab,DONE
Beta Decay and Neutrinos,Beta Decay,The Organic Chemistry Tutor,DONE
Navier-Stokes Equations,Navier-Stokes Equations,Numberphile,DONE
Reynolds Number and Turbulence,Reynolds Number and Turbulence,Fluid Mechanics,DONE
Viscosity and Poiseuille Flow,Viscosity and Poiseuille Flow,The Organic Chemistry Tutor,DONE
Capillary Action and Surface Tension,Capillary Action and Surface Tension,The Organic Chemistry Tutor,DONE
Maxwell-Boltzmann Distribution,Maxwell-Boltzmann Distribution,The Organic Chemistry Tutor,DONE
Equipartition Theorem,Equipartition Theorem,Michel van Biezen,DONE
Ising Model (Ferromagnetism),Ising Model,Statistical Mechanics,DONE
Gibbs Free Energy and Chemical Potential,Gibbs Free Energy,The Organic Chemistry Tutor,DONE
Debye Model of Specific Heat,Debye Model of Specific Heat,MIT OpenCourseWare,DONE
Fokker-Planck Equation,Fokker-Planck Equation,Physics,DONE
Brownian Motion and Random Walks,Brownian Motion,MIT OpenCourseWare,DONE
Quantum Harmonic Oscillator (Ladder Operators),Quantum Harmonic Oscillator,MIT OpenCourseWare,DONE
Stern-Gerlach Experiment,Stern-Gerlach Experiment,MIT OpenCourseWare,DONE
Quantum Decoherence,Quantum Decoherence,PBS Space Time,DONE
Bell's Theorem and Hidden Variables,Bell's Theorem,Veritasium,DONE
Zeeman Effect and Stark Effect,Zeeman Effect,Physics,DONE
Clebsch-Gordan Coefficients,Clebsch Gordan Coefficients,Physics Videos by Eugene Khutoryansky,DONE
Density Matrices,Density Matrix,Quantum Intuition,DONE
Path Integrals (Feynman),Feynman Path Integral,PBS Space Time,DONE
Aharonov-Bohm Effect,Aharonov-Bohm Effect,Physics,DONE
Larmor Formula,Larmor Formula,Radiation,DONE
Synchrotron Radiation,Synchrotron Radiation,Physics,DONE
Magnetic Monopoles,Magnetic Monopoles,PBS Space Time,DONE
Plasma Physics (Debye Shielding),Plasma Physics,Debye Shielding,DONE
Gravitational Waves,Gravitational Waves,PBS Space Time,DONE
Kerr Metric (Rotating Black Holes),Kerr Metric Rotating Black Holes,ScienceClic English,DONE
Cosmic Microwave Background (CMB),Cosmic Microwave Background,PBS Space Time,DONE
Dark Matter (Evidence and Theories),Dark Matter Evidence,Kurzgesagt,DONE
Dark Energy and the Cosmological Constant,Dark Energy,PBS Space Time,DONE
Inflationary Cosmology,Inflationary Cosmology,PBS Space Time,DONE
Chandrasekhar Limit,Chandrasekhar Limit,PBS Space Time,DONE
Pulsars and Neutron Stars,Neutron Stars,Kurzgesagt,DONE
Kepler's Laws Derived,Kepler's Laws Derivation,Physics,DONE
Higgs Mechanism,Higgs Mechanism,Fermilab,DONE
Gauge Invariance,Gauge Invariance,Physics,DONE
Quantum Electrodynamics (QED),Quantum Electrodynamics QED,Fermilab,DONE
Quantum Chromodynamics (QCD) Color Charge,Quantum Chromodynamics QCD Color Charge,Fermilab,DONE
Dirac Equation,Dirac Equation,Fermilab,DONE
Klein-Gordon Equation,Klein-Gordon Equation,Physics,DONE
Antimatter and CPT Symmetry,Antimatter and CPT Symmetry,Fermilab,DONE
Neutrino Oscillations,Neutrino Oscillations,Fermilab,DONE
Quantum Hall Effect,Quantum Hall Effect,Physics,DONE
Topological Insulators,Topological Insulators,Physics,DONE
Magnetic Resonance (NMR Physics),NMR Physics Basics,Physics,DONE
Josephson Junctions,Josephson Junctions,Superconductivity,DONE
The Grand Canonical Ensemble,Grand Canonical Ensemble,Physics Videos by Eugene Khutoryansky,DONE
Kinetic Theory of Gases,Kinetic Theory of Gases,Professor Dave Explains,DONE
Fluctuation-Dissipation Theorem,Fluctuation Dissipation Theorem,Physics,DONE
The Renormalization Group,Renormalization Group,Physics,DONE
Bose-Einstein Condensation,Bose-Einstein Condensation,MIT OpenCourseWare,DONE
Molecular Dynamics Simulations,Molecular Dynamics,Physics,DONE
Density Functional Theory (DFT),Density Functional Theory,Physics,DONE
Monte Carlo Methods in Statistical Physics,Monte Carlo Statistical Mechanics,Physics,DONE
Lattice QCD,Lattice QCD,Fermilab,DONE
Finite Element Method (FEM) in Physics,Finite Element Method,Physics,DONE
The N-Body Problem,N-Body Problem,Physics,DONE
Fourier Optics,Fraunhofer Diffraction Explained,Jordan Edmunds Chetty,DONE
Nonlinear Optics,Nonlinear Optics,Physics,DONE
Laser Physics (Population Inversion),Laser Physics Population Inversion,Physics,DONE
Holography Mathematics,Holography Explained,Physics,DONE
Fabry-Perot Interferometer,Fabry Perot Interferometer,Physics,DONE
Hodgkin-Huxley Model (Biophysics),Hodgkin Huxley Model,Neuroscience,DONE
Thermodynamics of Protein Folding,Protein Folding Thermodynamics,Biology,DONE
Nuclear Magnetic Resonance (NMR) Spectroscopy,NMR Spectroscopy,The Organic Chemistry Tutor,DONE
Plasma Containment (Tokamaks),"How nuclear fusion works (3) - magnetic confinement, tokamaks, stellarators",Improbable Matter,DONE
Magnetohydrodynamics (MHD),Magnetohydrodynamics,Physics,DONE
The Grand Canonical Ensemble,Grand Canonical Ensemble Statistical Mechanics,Physics,DONE
Magnetohydrodynamics (MHD),Magnetohydrodynamics MHD Explained,Physics,DONE
Fourier Optics,Intro to Fourier Optics and the 4F correlator,Applied Science,DONE
Nonlinear Optics,Introduction to Nonlinear Optics,Physics,DONE
Tokamaks and Magnetic Confinement,Tokamak Magnetic Confinement Fusion,Physics,DONE
The Born Approximation,Born Approximation Quantum Mechanics,MIT OpenCourseWare,DONE
Partial Wave Analysis,Partial Wave Analysis Scattering,MIT OpenCourseWare,DONE
Ehrenfest's Theorem,Ehrenfest Theorem Quantum Mechanics,Physics,DONE
The Virial Theorem,Virial Theorem,Physics,DONE
Addition of Angular Momentum,Addition of Angular Momentum Quantum Mechanics,MIT OpenCourseWare,DONE
Time-Energy Uncertainty Principle,Time Energy Uncertainty Principle,PBS Space Time,DONE
Poisson Brackets,Poisson Brackets Classical Mechanics,Physics,DONE
Canonical Transformations,Canonical Transformations Mechanics,Physics,DONE
The Hamilton-Jacobi Equation,Hamilton-Jacobi Equation,Physics,DONE
Action-Angle Variables,Action Angle Variables Classical Mechanics,Physics,DONE
Noether's Theorem,Noether's Theorem Explained,ScienceClic English,DONE
The Maxwell Stress Tensor,Maxwell Stress Tensor,Physics,DONE
Fresnel Equations,Fresnel Equations,Physics,DONE
Gauge Transformations (Electromagnetism),Gauge Transformations Coulomb Lorenz Gauge,Physics,DONE
Liénard-Wiechert Potentials,Lienard-Wiechert Potentials,Physics,DONE
Jefimenko's Equations,Jefimenko's Equations,Physics,DONE
Kramers-Kronig Relations,Kramers-Kronig Relations,Physics,DONE
Tolman-Oppenheimer-Volkoff (TOV) Equation,TOV Equation Astrophysics,Physics,DONE
The Eddington Limit,Eddington Limit Astrophysics,Physics,DONE
Jeans Mass (Star Formation),Jeans Mass Star Formation,Astrophysics,DONE
Saha Ionization Equation,Saha Equation,Physics,DONE
The Friedmann Equations,Friedmann Equations Cosmology,Physics,DONE
Legendre Transformations (Thermodynamics),Legendre Transformations Thermodynamics,Physics,DONE
Clausius-Clapeyron Equation,Clausius Clapeyron Equation,The Organic Chemistry Tutor,DONE
Maxwell Relations (Thermodynamics),Maxwell Relations Thermodynamics,The Organic Chemistry Tutor,DONE
The Einstein Model of a Solid,Einstein Model Specific Heat,Physics,DONE
The Ultraviolet Catastrophe,Ultraviolet Catastrophe Rayleigh Jeans,Physics,DONE
The Drude Model,Drude Model Conduction,Solid State Physics,DONE
Sommerfeld Free Electron Model,Free Electron Model,Solid State Physics,DONE
Density of States,Density of States Solid State,Physics,DONE
The Tight Binding Model,Tight Binding Model,Solid State Physics,DONE
Kirchhoff's Laws (KCL and KVL),KCL and KVL,Neso Academy,DONE
Thevenin and Norton Equivalent Circuits,Thevenin Theorem,Neso Academy,DONE
Mesh and Nodal Analysis,Nodal Analysis,Neso Academy,DONE
RC and RL Circuits Transient Response,RC Circuit Transient Response,The Organic Chemistry Tutor,DONE
RLC Circuits and Resonance,RLC Circuit Resonance,The Organic Chemistry Tutor,DONE
Phasors in AC Circuits,Phasors in AC Circuits,The Organic Chemistry Tutor,DONE
Laplace Transform in Circuit Analysis,Laplace Transform Circuit Analysis,Neso Academy,DONE
Bode Plots,Introduction to Bode Plots,Brian Douglas,DONE
Two-Port Networks,Two Port Networks,Neso Academy,DONE
Operational Amplifiers Basics,Operational Amplifiers,Neso Academy,DONE
Boolean Algebra and Logic Gates,Boolean Algebra,Neso Academy,DONE
Karnaugh Maps (K-Maps),K-Map,Neso Academy,DONE
Multiplexers and Demultiplexers,Multiplexers,Neso Academy,DONE
Encoders and Decoders,Encoders and Decoders,Neso Academy,DONE
Adders and Subtractors,Full Adder,Neso Academy,DONE
SR and D Flip Flops,D Flip Flop,Neso Academy,DONE
JK and T Flip Flops,JK Flip Flop,Neso Academy,DONE
Shift Registers,Shift Registers,Neso Academy,DONE
Synchronous and Asynchronous Counters,Synchronous Counters,Neso Academy,DONE
Finite State Machines (Mealy and Moore),Mealy and Moore Machines,Neso Academy,DONE
Introduction to Verilog HDL,Verilog HDL,Neso Academy,DONE
FPGA Architecture Basics,FPGA Basics,All About Electronics,DONE
